iter	Passed	Remaining
0	483	96279
1	908	89976
2	1459	95844
3	1855	90903
4	2287	89207
5	2745	88787
6	3227	88986
7	3669	88068
8	4061	86190
9	4466	84863
10	4858	83480
11	5252	82289
12	5651	81293
13	6042	80282
14	6448	79533
15	6843	78700
16	7285	78426
17	7739	78250
18	8139	77542
19	8536	76824
20	8945	76245
21	9331	75503
22	9735	74920
23	10128	74278
24	10525	73678
25	10931	73156
26	11340	72661
27	11745	72148
28	12152	71657
29	12544	71083
30	12949	70594
31	13346	70067
32	13745	69559
33	14143	69051
34	14535	68523
35	14917	67957
36	15302	67415
37	15681	66851
38	16051	66263
39	16418	65674
40	16792	65121
41	17180	64632
42	17657	64470
43	18101	64179
44	18560	63929
45	19003	63621
46	19460	63349
47	19915	63065
48	20410	62897
49	20882	62646
50	21323	62298
51	21764	61944
52	22203	61584
53	22642	61217
54	23107	60919
55	23586	60650
56	24044	60322
57	24507	60001
58	24949	59625
59	25403	59275
60	25837	58876
61	26288	58512
62	26729	58126
63	27206	57813
64	27678	57485
65	28119	57091
66	28580	56734
67	29037	56366
68	29489	55987
69	29923	55572
70	30342	55128
71	30780	54721
72	31225	54323
73	31662	53911
74	32112	53521
75	32547	53103
76	32994	52705
77	33558	52488
78	34006	52085
79	34458	51687
80	34881	51245
81	35333	50846
82	35727	50362
83	36147	49917
84	36561	49465
85	36971	49009
86	37391	48565
87	37836	48155
88	38278	47741
89	38706	47308
90	39175	46924
91	39615	46505
92	40033	46059
93	40533	45707
94	40990	45304
95	41393	44843
96	41930	44523
97	42379	44109
98	42871	43737
99	43345	43345
100	43779	42912
101	44241	42506
102	44650	42049
103	45100	41631
104	45552	41214
105	46017	40808
106	46427	40352
107	46858	39916
108	47342	39524
109	47780	39093
110	48244	38682
111	48754	38306
112	49211	37888
113	49661	37464
114	50092	37024
115	50494	36564
116	50926	36127
117	51344	35680
118	51782	35246
119	52197	34798
120	52642	34370
121	53086	33940
122	53533	33512
123	53956	33070
124	54404	32642
125	54867	32223
126	55355	31818
127	55807	31391
128	56220	30943
129	56638	30497
130	57062	30055
131	57444	29592
132	57890	29162
133	58313	28721
134	58694	28260
135	59087	27805
136	59493	27358
137	59894	26909
138	60303	26463
139	60709	26018
140	61102	25567
141	61493	25117
142	61907	24676
143	62321	24235
144	62697	23781
145	63099	23338
146	63523	22903
147	63948	22468
148	64349	22025
149	64720	21573
150	65143	21139
151	65554	20701
152	65971	20265
153	66347	19817
154	66764	19383
155	67183	18949
156	67557	18502
157	67990	18073
158	68377	17632
159	68713	17178
160	69084	16734
161	69416	16282
162	69731	15828
163	70024	15371
164	70287	14909
165	70555	14451
166	70824	13995
167	71098	13542
168	71415	13099
169	71689	12651
170	71948	12201
171	72306	11770
172	72627	11334
173	72924	10896
174	73209	10458
175	73455	10016
176	73691	9575
177	73958	9140
178	74316	8718
179	74628	8292
180	74955	7868
181	75202	7437
182	75461	7010
183	75755	6587
184	76043	6165
185	76320	5744
186	76610	5325
187	76897	4908
188	77176	4491
189	77433	4075
190	77695	3661
191	77948	3247
192	78184	2835
193	78535	2428
194	78828	2021
195	79089	1614
196	79337	1208
197	79569	803
198	79821	401
199	80101	0
